artist_id,email_1st_click_campaign_name,nb_sales,total_bv
5195,INTERNAL_CAMPAIGN_DIRECT_ACCESS,1,9872.96758
1514,DISPLAY_ADWORDS_CUSTOM_INTENT_LUXURY_DESIGN,1,9845.75592
36593,TEMPLATE_ARTWORK_GRAND,2,9836.205312
15859,INTERNAL_CAMPAIGN_SEA_BRAND,2,9790
2537,INTERNAL_CAMPAIGN_SEO_NON_BRAND_OTHER,1,9653
16531,ADWORDS_GALLERIES_CITIES,3,9600
1202,INTERNAL_CAMPAIGN_DIRECT_ACCESS,1,9577.4375
14105,INTERNAL_CAMPAIGN_DIRECT_ACCESS,3,9556.8
17673,ADWORDS_GENERAL_EXPLORATION_TOP10%,2,9544.383744
35177,TEMPLATE ARTIST,4,9542
2303,INTERNAL_CAMPAIGN_DIRECT_ACCESS,9,9489.2736
12155,INTERNAL_CAMPAIGN_SEA_BRAND,11,9470
15847,DISPLAY_ADWORDS_PL_HOME_DECO,3,9419.507886
6223,ADWORDS_GENERAL_EXPLORATION_TOP10%,2,9362.2928
2653,ADWORDS_GENERAL,4,9350
4651,INTERNAL_CAMPAIGN_DIRECT_ACCESS,2,9350
28659,ADWORDS_GENERAL,2,9332.5229
8337,DISPLAY_ADWORDS_CUSTOM_INTENT_LUXURY_ESTATE,1,9308.34585
1298,ADWORDS_GALLERIES_CITIES_LP,4,9277.472312
11231,EMAIL_TRANSACTIONAL_MAO_AUTO_ACCEPT,3,9250
2099,TEMPLATE ARTIST,2,9179.3658
3567,ADWORDS_GENERAL,2,9138.5392
15847,ADWORDS_GALLERIES_CITIES,4,9122.11925
7037,INTERNAL_CAMPAIGN_DIRECT_ACCESS,9,9048.582315
36495,ADWORDS_GENERAL_BROAD,1,9010
14105,ADWORDS_GENERAL,2,8984
36514,ADWORDS_GENERAL,8,8923.74596
11651,ADWORDS_GALLERIES_CITIES,7,8910.441199
31241,BING_GENERAL,2,8839.3215
36523,ADWORDS_GENERAL,7,8811.187935
18307,TEMPLATE ARTWORK,1,8807.53742
3741,INTERNAL_CAMPAIGN_DIRECT_ACCESS,4,8769.0358
7045,ADWORDS_GENERAL,3,8652.260915
1717,ADWORDS_GENERAL,2,8650
1514,ADWORDS_GENERAL,2,8500
3167,ADWORDS_GENERAL,16,8451.868
1973,TEMPLATE_GRAND_ARTIST,3,8411.859473
8363,INTERNAL_CAMPAIGN_DIRECT_ACCESS,8,8411.46
33345,TEMPLATE PAINTINGS SEARCH,6,8376.34586
1717,DISPLAY_ADWORDS_SIMILAR_CUSTOMEREMAIL,1,8260
3167,INTERNAL_CAMPAIGN_SEO_BRAND_GOOGLE,8,8209.22181
36501,INTERNAL_CAMPAIGN_SEO_BRAND_GOOGLE,1,8200
13921,TEMPLATE ARTIST,3,8196.31762
27721,ADWORDS_GENERAL,5,8079
36937,ADWORDS_GALLERIES_CITIES,6,8027.46942
12155,INTERNAL_CAMPAIGN_SEO_BRAND_GOOGLE,7,7991
36515,INTERNAL_CAMPAIGN_DIRECT_ACCESS,1,7989.194871
13921,TEMPLATE COLLECTIONS,3,7985.419
11651,INTERNAL_CAMPAIGN_DIRECT_ACCESS,8,7963.3228
5097,INTERNAL_CAMPAIGN_DIRECT_ACCESS,3,7943.0264
2493,TEMPLATE ARTIST,5,7939.28985
4195,ADWORDS_GENERAL,7,7881.261008
