metric_type,days_bucket,lifecycle_bucket,nb_events,total_sold_artworks,events_per_artwork
click,2. Days 08-14,06. 50-60%,174,8764,0.0199
click,4. Days 31-60,06. 50-60%,477,8764,0.0544
click,3. Days 15-30,06. 50-60%,400,8764,0.0456
click,2. Days 08-14,07. 60-70%,183,8764,0.0209
click,5. Days 61-90,07. 60-70%,379,8764,0.0432
click,6. Days 91+,07. 60-70%,3713,8764,0.4237
click,4. Days 31-60,07. 60-70%,577,8764,0.0658
click,3. Days 15-30,07. 60-70%,371,8764,0.0423
click,1. Days 01-07,07. 60-70%,770,8764,0.0879
click,4. Days 31-60,08. 70-80%,580,8764,0.0662
click,1. Days 01-07,08. 70-80%,365,8764,0.0416
click,6. Days 91+,08. 70-80%,5473,8764,0.6245
click,2. Days 08-14,08. 70-80%,162,8764,0.0185
click,5. Days 61-90,08. 70-80%,415,8764,0.0474
click,3. Days 15-30,08. 70-80%,545,8764,0.0622
click,4. Days 31-60,09. 80-90%,797,8764,0.0909
click,3. Days 15-30,09. 80-90%,538,8764,0.0614
click,5. Days 61-90,09. 80-90%,585,8764,0.0668
click,6. Days 91+,09. 80-90%,8889,8764,1.0143
click,1. Days 01-07,09. 80-90%,546,8764,0.0623
click,2. Days 08-14,09. 80-90%,302,8764,0.0345
click,3. Days 15-30,10. 90-100%,797,8764,0.0909
click,5. Days 61-90,10. 90-100%,1648,8764,0.188
click,6. Days 91+,10. 90-100%,38295,8764,4.3696
click,2. Days 08-14,10. 90-100%,273,8764,0.0312
click,4. Days 31-60,10. 90-100%,1485,8764,0.1694
view,4. Days 31-60,01. 0-10%,158,8764,0.018
view,2. Days 08-14,01. 0-10%,9699,8764,1.1067
view,3. Days 15-30,01. 0-10%,5623,8764,0.6416
view,1. Days 01-07,01. 0-10%,69985,8764,7.9855
view,5. Days 61-90,02. 10-20%,801,8764,0.0914
view,1. Days 01-07,02. 10-20%,10822,8764,1.2348
view,4. Days 31-60,02. 10-20%,10908,8764,1.2446
view,2. Days 08-14,02. 10-20%,8789,8764,1.0029
view,3. Days 15-30,02. 10-20%,16392,8764,1.8704
view,5. Days 61-90,03. 20-30%,9698,8764,1.1066
view,6. Days 91+,03. 20-30%,2325,8764,0.2653
view,3. Days 15-30,03. 20-30%,10595,8764,1.2089
view,2. Days 08-14,03. 20-30%,4912,8764,0.5605
view,4. Days 31-60,03. 20-30%,16188,8764,1.8471
view,1. Days 01-07,03. 20-30%,6150,8764,0.7017
view,6. Days 91+,04. 30-40%,14879,8764,1.6977
view,3. Days 15-30,04. 30-40%,7688,8764,0.8772
view,4. Days 31-60,04. 30-40%,12863,8764,1.4677
view,2. Days 08-14,04. 30-40%,2820,8764,0.3218
view,1. Days 01-07,04. 30-40%,3283,8764,0.3746
view,5. Days 61-90,04. 30-40%,12295,8764,1.4029
view,2. Days 08-14,05. 40-50%,1792,8764,0.2045
view,6. Days 91+,05. 40-50%,33681,8764,3.8431
view,5. Days 61-90,05. 40-50%,10699,8764,1.2208
view,1. Days 01-07,05. 40-50%,2282,8764,0.2604
view,4. Days 31-60,05. 40-50%,10316,8764,1.1771
view,3. Days 15-30,05. 40-50%,5718,8764,0.6524
view,2. Days 08-14,06. 50-60%,2069,8764,0.2361
view,5. Days 61-90,06. 50-60%,9786,8764,1.1166
view,6. Days 91+,06. 50-60%,56819,8764,6.4832
view,1. Days 01-07,06. 50-60%,3772,8764,0.4304
view,3. Days 15-30,06. 50-60%,5046,8764,0.5758
view,4. Days 31-60,06. 50-60%,9846,8764,1.1235
view,3. Days 15-30,07. 60-70%,3730,8764,0.4256
view,4. Days 31-60,07. 60-70%,8374,8764,0.9555
view,1. Days 01-07,07. 60-70%,2155,8764,0.2459
view,2. Days 08-14,07. 60-70%,1406,8764,0.1604
view,6. Days 91+,07. 60-70%,85243,8764,9.7265
view,5. Days 61-90,07. 60-70%,7814,8764,0.8916
view,6. Days 91+,08. 70-80%,121825,8764,13.9006
view,5. Days 61-90,08. 70-80%,7194,8764,0.8209
view,2. Days 08-14,08. 70-80%,926,8764,0.1057
view,4. Days 31-60,08. 70-80%,8266,8764,0.9432
view,3. Days 15-30,08. 70-80%,3161,8764,0.3607
view,1. Days 01-07,08. 70-80%,1569,8764,0.179
view,6. Days 91+,09. 80-90%,191711,8764,21.8748
view,4. Days 31-60,09. 80-90%,7947,8764,0.9068
view,3. Days 15-30,09. 80-90%,2676,8764,0.3053
view,2. Days 08-14,09. 80-90%,1118,8764,0.1276
view,1. Days 01-07,09. 80-90%,1208,8764,0.1378
view,5. Days 61-90,09. 80-90%,8169,8764,0.9321
view,4. Days 31-60,10. 90-100%,7393,8764,0.8436
view,3. Days 15-30,10. 90-100%,2441,8764,0.2785
view,6. Days 91+,10. 90-100%,371094,8764,42.343
view,2. Days 08-14,10. 90-100%,637,8764,0.0727
view,5. Days 61-90,10. 90-100%,8614,8764,0.9829
wishlist,3. Days 15-30,01. 0-10%,22,8764,0.0025
wishlist,1. Days 01-07,01. 0-10%,478,8764,0.0545
wishlist,4. Days 31-60,01. 0-10%,1,8764,0.0001
wishlist,2. Days 08-14,01. 0-10%,35,8764,0.004
wishlist,1. Days 01-07,02. 10-20%,77,8764,0.0088
wishlist,5. Days 61-90,02. 10-20%,2,8764,0.0002
wishlist,3. Days 15-30,02. 10-20%,65,8764,0.0074
wishlist,4. Days 31-60,02. 10-20%,30,8764,0.0034
wishlist,2. Days 08-14,02. 10-20%,45,8764,0.0051
wishlist,5. Days 61-90,03. 20-30%,37,8764,0.0042
wishlist,3. Days 15-30,03. 20-30%,36,8764,0.0041
wishlist,6. Days 91+,03. 20-30%,9,8764,0.001
wishlist,2. Days 08-14,03. 20-30%,25,8764,0.0029
wishlist,4. Days 31-60,03. 20-30%,65,8764,0.0074
wishlist,1. Days 01-07,03. 20-30%,61,8764,0.007
wishlist,2. Days 08-14,04. 30-40%,23,8764,0.0026
wishlist,6. Days 91+,04. 30-40%,52,8764,0.0059
wishlist,1. Days 01-07,04. 30-40%,41,8764,0.0047
wishlist,4. Days 31-60,04. 30-40%,58,8764,0.0066
wishlist,5. Days 61-90,04. 30-40%,61,8764,0.007
wishlist,3. Days 15-30,04. 30-40%,41,8764,0.0047
wishlist,5. Days 61-90,05. 40-50%,43,8764,0.0049
wishlist,2. Days 08-14,05. 40-50%,9,8764,0.001
wishlist,4. Days 31-60,05. 40-50%,48,8764,0.0055
wishlist,6. Days 91+,05. 40-50%,123,8764,0.014
wishlist,3. Days 15-30,05. 40-50%,33,8764,0.0038
wishlist,1. Days 01-07,05. 40-50%,17,8764,0.0019
wishlist,4. Days 31-60,06. 50-60%,45,8764,0.0051
wishlist,2. Days 08-14,06. 50-60%,11,8764,0.0013
wishlist,1. Days 01-07,06. 50-60%,52,8764,0.0059
