artist_id,artist,artwork_id,categories,styles,medium,orientation
3969,Marcos Zrihen,1272935,"fantasy,marine,nature",minimalism,painting,landscape
3969,Marcos Zrihen,288611,"fantasy,marine",minimalism,painting,landscape
3969,Marcos Zrihen,1551629,"fantasy,fashion,landscape,nature",minimalism,painting,landscape
3969,Marcos Zrihen,1078637,"fantasy,marine,nature",minimalism,painting,portait
3969,Marcos Zrihen,1078627,"genre_painting,nature","figurative,minimalism",painting,portait
3969,Marcos Zrihen,1076723,"fantasy,genre_painting,nature","figurative,minimalism",painting,portait
3969,Marcos Zrihen,1076687,"fantasy,nature",minimalism,painting,portait
3969,Marcos Zrihen,1557009,"fantasy,landscape,marine,nature",minimalism,painting,portait
3969,Marcos Zrihen,1069675,"conceptual,fantasy,genre_painting,nature","figurative,minimalism",painting,landscape
3969,Marcos Zrihen,1066435,"fantasy,nature",minimalism,painting,portait
3969,Marcos Zrihen,1063651,"fantasy,genre_painting,nature","figurative,minimalism",painting,portait
3969,Marcos Zrihen,1545555,"fantasy,landscape,nature",minimalism,painting,landscape
3969,Marcos Zrihen,1543883,"fantasy,landscape,marine,nature",minimalism,painting,portait
3969,Marcos Zrihen,1564176,"fantasy,fashion,landscape,nature",minimalism,painting,landscape
3969,Marcos Zrihen,1540839,"fantasy,landscape,marine,nature",minimalism,painting,portait
3969,Marcos Zrihen,1573365,"fantasy,landscape,nature",minimalism,painting,portait
3969,Marcos Zrihen,1535217,"fantasy,landscape,marine,nature",minimalism,painting,portait
3969,Marcos Zrihen,1573370,"fantasy,landscape,nature",minimalism,painting,portait
3969,Marcos Zrihen,1576701,"fantasy,landscape,marine,nature",minimalism,painting,portait
3969,Marcos Zrihen,1527591,"fantasy,landscape,nature",minimalism,painting,portait
3969,Marcos Zrihen,1527583,"fantasy,landscape,nature",minimalism,painting,landscape
3969,Marcos Zrihen,613049,"marine,nature",minimalism,painting,portait
3969,Marcos Zrihen,613015,"marine,nature",minimalism,painting,portait
3969,Marcos Zrihen,607731,"fantasy,nature",minimalism,painting,portait
3969,Marcos Zrihen,607729,"fantasy,nature","geometric,minimalism",painting,portait
3969,Marcos Zrihen,607703,fantasy,minimalism,painting,landscape
3969,Marcos Zrihen,607693,"fantasy,nature","figurative,minimalism",painting,landscape
3969,Marcos Zrihen,1583960,"fantasy,landscape,nature",minimalism,painting,portait
3969,Marcos Zrihen,1586184,"fantasy,landscape,nature",minimalism,painting,portait
3969,Marcos Zrihen,1598667,"fantasy,landscape,nature","figurative,minimalism",painting,portait
3969,Marcos Zrihen,1602480,"fantasy,landscape,marine,nature",minimalism,painting,portait
3969,Marcos Zrihen,1604146,"fantasy,landscape,marine,nature",minimalism,painting,landscape
3969,Marcos Zrihen,585285,"fantasy,genre_painting,nature",minimalism,painting,portait
3969,Marcos Zrihen,585249,genre_painting,minimalism,painting,portait
3969,Marcos Zrihen,585217,conceptual,minimalism,painting,landscape
3969,Marcos Zrihen,585191,conceptual,minimalism,painting,portait
3969,Marcos Zrihen,585179,abstract_art,minimalism,painting,portait
3969,Marcos Zrihen,578721,landscape,abstract,painting,portait
3969,Marcos Zrihen,1607454,"fantasy,landscape,nature",minimalism,painting,portait
3969,Marcos Zrihen,1060687,"fantasy,marine,nature",minimalism,painting,portait
3969,Marcos Zrihen,1613253,"animals,fantasy","minimalism,oriental_art,realism",painting,portait
3969,Marcos Zrihen,1613866,"fantasy,portrait","figurative,oriental_art",painting,portait
3969,Marcos Zrihen,1057653,"historical_political,nature","figurative,minimalism,realism",painting,portait
3969,Marcos Zrihen,1055047,"fantasy,marine",minimalism,painting,portait
3969,Marcos Zrihen,1617638,"fantasy,landscape,marine,nature",minimalism,painting,portait
3969,Marcos Zrihen,1618170,"fantasy,landscape,nature",minimalism,painting,portait
3969,Marcos Zrihen,1051875,"fantasy,nature",minimalism,painting,portait
3969,Marcos Zrihen,1049225,"fantasy,nature",minimalism,painting,portait
3969,Marcos Zrihen,1618186,"fantasy,landscape,marine,nature",minimalism,painting,portait
3969,Marcos Zrihen,1042725,"fantasy,nature",minimalism,painting,portait
3969,Marcos Zrihen,1621165,"fantasy,landscape,marine,portrait",figurative,painting,portait
3969,Marcos Zrihen,1621172,"fantasy,landscape,marine,nature",minimalism,painting,portait
3969,Marcos Zrihen,1640484,"fantasy,landscape,marine,nature",minimalism,painting,portait
3969,Marcos Zrihen,1651584,"fantasy,landscape,marine,nature",minimalism,painting,portait
3969,Marcos Zrihen,1651691,"fantasy,landscape,marine,nature",minimalism,painting,portait
3969,Marcos Zrihen,1666038,"fantasy,landscape,marine,nature",minimalism,painting,portait
3969,Marcos Zrihen,2019205,"fantasy,landscape,marine,nature",minimalism,painting,portait
3969,Marcos Zrihen,2019201,"fantasy,landscape,marine,nature",minimalism,painting,portait
3969,Marcos Zrihen,2019191,"fantasy,landscape,marine,nature",minimalism,painting,portait
3969,Marcos Zrihen,1671925,"fantasy,landscape,nature",minimalism,painting,portait
3969,Marcos Zrihen,1676972,"fantasy,landscape,nature",minimalism,painting,portait
3969,Marcos Zrihen,1739939,"fantasy,landscape,nature",minimalism,painting,portait
3969,Marcos Zrihen,1767381,"landscape,nature","figurative,realism",painting,portait
3969,Marcos Zrihen,1768195,"fantasy,landscape,nature",minimalism,painting,portait
3969,Marcos Zrihen,1770461,"fantasy,landscape,nature",minimalism,painting,portait
3969,Marcos Zrihen,1770485,fantasy,oriental_art,painting,portait
3969,Marcos Zrihen,1771453,"fantasy,marine,nature",minimalism,painting,landscape
3969,Marcos Zrihen,1774573,"fantasy,landscape,nature",minimalism,painting,portait
3969,Marcos Zrihen,1092119,"fantasy,portrait",oriental_art,painting,portait
3969,Marcos Zrihen,1098203,"fantasy,marine,nature",minimalism,painting,portait
3969,Marcos Zrihen,1105065,nature,"figurative,minimalism",painting,portait
3969,Marcos Zrihen,2227081,"fantasy,landscape,nature",minimalism,painting,landscape
3969,Marcos Zrihen,1114343,marine,minimalism,painting,portait
3969,Marcos Zrihen,1116719,"conceptual,fantasy,marine,nature",minimalism,painting,portait
3969,Marcos Zrihen,1041329,"fantasy,marine,nature",minimalism,painting,portait
3969,Marcos Zrihen,1120579,"fantasy,marine,nature",minimalism,painting,portait
3969,Marcos Zrihen,1035725,"fantasy,nature","figurative,minimalism",painting,landscape
3969,Marcos Zrihen,1129307,fantasy,minimalism,painting,portait
3969,Marcos Zrihen,1029767,"fantasy,nature",minimalism,painting,portait
3969,Marcos Zrihen,1131759,"fantasy,nature",minimalism,painting,portait
3969,Marcos Zrihen,1145229,"fantasy,marine,nature",minimalism,painting,portait
3969,Marcos Zrihen,1148465,"fantasy,nature",minimalism,painting,portait
3969,Marcos Zrihen,1022965,"fantasy,nature",minimalism,painting,landscape
3969,Marcos Zrihen,1162023,fantasy,figurative,painting,portait
3969,Marcos Zrihen,1166291,fantasy,minimalism,painting,portait
3969,Marcos Zrihen,1521108,"fantasy,landscape,nature","metaphysical,minimalism",painting,portait
3969,Marcos Zrihen,1174359,"fantasy,landscape,marine,nature",minimalism,painting,portait
3969,Marcos Zrihen,1174369,"conceptual,fantasy,nature",minimalism,painting,portait
3969,Marcos Zrihen,1174387,"fantasy,nature",minimalism,painting,portait
3969,Marcos Zrihen,1514159,"fantasy,landscape,nature",minimalism,painting,portait
3969,Marcos Zrihen,1511715,"fantasy,landscape,marine,nature",minimalism,painting,portait
3969,Marcos Zrihen,1511629,fantasy,"figurative,minimalism",painting,landscape
3969,Marcos Zrihen,1511561,"fantasy,landscape,nature",minimalism,painting,landscape
3969,Marcos Zrihen,1183709,"fantasy,nature,portrait","aboriginal_art,figurative,realism",painting,portait
3969,Marcos Zrihen,1183719,"fantasy,historical_political,nature",aboriginal_art,painting,landscape
3969,Marcos Zrihen,1183735,"fantasy,portrait",minimalism,painting,portait
3969,Marcos Zrihen,1018727,"fantasy,nature",minimalism,painting,landscape
3969,Marcos Zrihen,1014573,"fantasy,marine,nature","figurative,minimalism",painting,landscape
3969,Marcos Zrihen,1014569,"fantasy,marine","expressionism,figurative,minimalism",painting,landscape
3969,Marcos Zrihen,1184743,"fantasy,landscape,marine,nature",minimalism,painting,portait
3969,Marcos Zrihen,1192607,"fantasy,marine,nature",figurative,painting,landscape
3969,Marcos Zrihen,1008137,"fantasy,portrait",oriental_art,painting,portait
3969,Marcos Zrihen,1192633,"fantasy,marine,nature",minimalism,painting,landscape
3969,Marcos Zrihen,1203359,"landscape,nature",minimalism,painting,portait
3969,Marcos Zrihen,1002317,"fantasy,nature","figurative,minimalism",painting,landscape
3969,Marcos Zrihen,1002301,"marine,nature","figurative,minimalism",painting,landscape
3969,Marcos Zrihen,1002247,"fantasy,nature","aboriginal_art,minimalism",painting,portait
3969,Marcos Zrihen,1001939,"fantasy,nature",minimalism,painting,landscape
