artist_id,artist_name,artist_type,nb_sessions_artist_page,nb_sessions_artwork_page,nb_sessions_total,nb_entry_sessions_artist_campaign,nb_entry_sessions_artwork_campaign,nb_entry_sessions_total,artist_total_bv,artist_entry_bv_same_artist,artist_entry_bv_other_artist,artwork_entry_bv_same_artist,artwork_entry_bv_other_artist,1stClick BV,pull_ratio_artist,pull_ratio_artwork,pull_ratio,pct_first_click_bv_same_artist,1st_click_BV_per_First_click_session
2259,Karin Vermeer,Singulart Artist,63502,194079,257581,14096,6988,21084,346501.9439,31112.96156,2416.9,9130.60976,0,"42,660",22.20%,3.60%,8.19%,11.61%,€2.00
1919,Koen Lybaert,Singulart Artist,51137,360253,411390,11564,7847,19411,343616.7092,7813.0983,7391.63727,0,0,"15,205",22.61%,2.18%,4.72%,2.27%,€0.80
20053,Quan Le,Singulart Artist,40138,172494,212632,7058,5684,12742,334281.0108,15865.06418,6159.4775,6240.89825,0,"28,265",17.58%,3.30%,5.99%,6.61%,€2.20
522,Francesco D'Adamo,Singulart Artist,54236,249235,303471,10874,6044,16918,333275.3594,4762.05491,3486.334544,10201.77299,0,"18,450",20.05%,2.43%,5.58%,4.49%,€1.10
1303,Olga Novokhatska,Singulart Artist,64339,178051,242390,11403,2965,14368,332761.1706,23871.95724,0,5025.88,0,"28,898",17.72%,1.67%,5.93%,8.68%,€2.00
3197,Javier Torices,Singulart Artist,74829,137643,212472,29670,2196,31866,328850.2619,20760,0,4350.9059,0,"25,111",39.65%,1.60%,15.00%,7.64%,€0.80
4049,Oleg Riabchuk,Singulart Artist,53679,261560,315239,8146,4371,12517,322162.137,12100.10431,3738,1158.539568,0,"16,997",15.18%,1.67%,3.97%,4.12%,€1.40
13991,Harry Holland,Singulart Artist,59012,145042,204054,21184,4099,25283,322100.4657,4054.711979,0,13953.4,870,"18,878",35.90%,2.83%,12.39%,5.59%,€0.70
3567,Eka Peradze,Singulart Artist,67332,585891,653223,15192,12087,27279,304994.5865,43936.34896,13353.23093,7366.769885,0,"64,656",22.56%,2.06%,4.18%,16.82%,€2.40
14855,Benoît Havard,Singulart Artist,43808,91798,135606,14563,1995,16558,286125.272,28843.33919,2474.25421,4463.93542,0,"35,782",33.24%,2.17%,12.21%,11.64%,€2.20
8903,Carlos Pun,Singulart Artist,42632,304218,346850,6788,26459,33247,280032.9234,17250.26306,0,1367.5485,0,"18,618",15.92%,8.70%,9.59%,6.65%,€0.60
