artist_id,artist_name,artist_type,Artist Quadrant,years online,nb_sessions_artist_page,nb_sessions_artwork_page,nb_sessions_total,nb_entry_sessions_artist_campaign,nb_entry_sessions_artwork_campaign,nb_entry_sessions_total,artist_total_bv,artist_entry_bv_same_artist,artist_entry_bv_other_artist,artwork_entry_bv_same_artist,artwork_entry_bv_other_artist,1stClick BV,pull_ratio_artist,pull_ratio_artwork,pull_ratio,pct_first_click_bv_same_artist,1st_click_BV_per_First_click_session,Predictive formula,Delta
15627,Maryline Lemaitre,Singulart Artist,"BV but no pull (Low Pull, High Entry BV)",6.2,"16,569","95,594","112,163","2,253","1,837","4,090","€154,424","€4,444",€768,€0,€0,"€5,212",13.598%,1.922%,3.646%,2.878%,€1.3,"€1,630.3","-€3,581.4"
13837,Mitchell Villa,Singulart Artist,"Pull but no BV (High Pull, Low/Zero Entry BV)",6.3,"24,721","38,763","63,484","3,468","1,086","4,554","€153,794",€0,€0,€0,€0,€0,14.029%,2.802%,7.173%,0.000%,€0.0,€0.0,€0.0
4573,Robert H N Rich,Singulart Artist,"BV but no pull (Low Pull, High Entry BV)",7.3,"15,654","119,912","135,566","2,587","4,020","6,607","€153,528","€8,176","€5,570",€0,€0,"€13,746",16.526%,3.352%,4.874%,5.326%,€2.1,"€2,179.0","-€11,567.3"
11905,Hassan Massoudy,Singulart Artist,"Supply-Driven (High Pull, High Entry BV)",6.3,"41,621","72,159","113,780","20,200","3,093","23,293","€151,851","€21,331","€3,140","€2,415",€0,"€26,886",48.53%,4.29%,20.47%,15.64%,€1.2,"€3,965.8","-€22,920.5"
3243,Lilia Orlova-Holmes,Singulart Artist,"Supply-Driven (High Pull, High Entry BV)",5.4,"24,534","70,718","95,252","6,197","1,347","7,544","€150,700","€4,909","€4,390",€0,€0,"€9,299",25.26%,1.90%,7.92%,3.26%,€1.2,"€1,534.2","-€7,764.6"
3061,Stanislav Sidorov,Singulart Artist,"Supply-Driven (High Pull, High Entry BV)",7.5,"20,462","87,465","107,927","5,180","2,809","7,989","€150,687","€11,583","€2,195","€6,540",€0,"€20,317",25.32%,3.21%,7.40%,12.03%,€2.5,"€1,433.9","-€18,883.4"
36518,Keith Haring,Grand Artist,"Supply-Driven (High Pull, High Entry BV)",2.4,"50,437","152,425","202,862","17,584","10,874","28,458","€149,707","€35,512","€5,902","€1,388",€0,"€42,803",34.86%,7.13%,14.03%,24.65%,€1.5,"€2,717.5","-€40,085.2"
2933,Anastasiya Valiulina,Singulart Artist,"Supply-Driven (High Pull, High Entry BV)",7.7,"39,134","176,374","215,508","5,933","13,732","19,665","€148,073","€1,100",€0,€0,€0,"€1,100",15.16%,7.79%,9.12%,0.74%,€0.1,"€1,767.7",€667.7
15167,RogerM,Singulart Artist,"BV but no pull (Low Pull, High Entry BV)",6.2,"23,100","132,829","155,929","2,211","2,900","5,111","€144,768","€6,112",€742,€0,€0,"€6,854",9.571%,2.183%,3.278%,4.222%,€1.3,"€1,465.5","-€5,388.4"
24035,Johanna Sanna,Singulart Artist,"BV but no pull (Low Pull, High Entry BV)",5.8,"17,180","111,886","129,066","2,594","2,909","5,503","€144,190","€4,066",€0,"€2,000",€0,"€6,066",15.099%,2.600%,4.264%,4.207%,€1.1,"€1,906.3","-€4,159.6"
950,Maciej Cieśla,Singulart Artist,"BV but no pull (Low Pull, High Entry BV)",7.7,"15,412","66,626","82,038","2,300","2,352","4,652","€142,886","€9,271","€1,524","€2,044",€0,"€12,839",14.923%,3.530%,5.671%,7.919%,€2.8,"€2,535.3","-€10,303.9"
13923,Philippe Abril,Singulart Artist,"BV but no pull (Low Pull, High Entry BV)",6.3,"50,031","480,901","530,932","8,942","16,976","25,918","€140,728","€5,190",€712,"€5,063",€0,"€10,964",17.873%,3.530%,4.882%,7.285%,€0.4,"€2,182.5","-€8,781.8"
3813,David Onen,Singulart Artist,"BV but no pull (Low Pull, High Entry BV)",7.4,"23,108","176,095","199,203","3,936","4,098","8,034","€138,381","€5,929","€2,120","€1,622",€822,"€10,493",17.033%,2.327%,4.033%,5.457%,€1.3,"€1,803.2","-€8,690.3"
8221,Thomas Dellert,Singulart Artist,"Supply-Driven (High Pull, High Entry BV)",6.6,"81,121","1,110,218","1,191,339","7,252","158,004","165,256","€138,125","€7,416",€0,"€5,684",€0,"€13,100",8.94%,14.23%,13.87%,9.48%,€0.1,"€2,687.1","-€10,413.0"
984,Sergej Sologub,Singulart Artist,"BV but no pull (Low Pull, High Entry BV)",8.3,"36,001","135,463","171,464","5,177","3,650","8,827","€137,702",€0,"€4,048",€0,€0,"€4,048",14.380%,2.694%,5.148%,0.000%,€0.5,"€2,301.7","-€1,746.5"
1953,María Burgaz,Singulart Artist,"BV but no pull (Low Pull, High Entry BV)",7.8,"26,052","185,557","211,609","4,060","4,819","8,879","€136,942","€4,628","€3,052","€3,498",€0,"€11,178",15.584%,2.597%,4.196%,5.934%,€1.3,"€1,876.0","-€9,302.0"
5863,Sang H. Han,Singulart Artist,"BV but no pull (Low Pull, High Entry BV)",6.9,"18,292","85,877","104,169","3,796","1,587","5,383","€136,844","€3,003",€0,€0,€0,"€3,003",20.752%,1.848%,5.168%,2.195%,€0.6,"€2,310.4",-€693.0
27425,Taron Marukyan,Singulart Artist,"Supply-Driven (High Pull, High Entry BV)",4.3,"11,426","34,039","45,465","3,070",493,"3,563","€136,412","€6,550",€0,"€4,674",€0,"€11,224",26.87%,1.45%,7.84%,8.23%,€3.2,"€1,518.1","-€9,706.3"
2131,Seung Yoon Choi,Singulart Artist,"Supply-Driven (High Pull, High Entry BV)",7.2,"19,739","68,117","87,856","4,067","1,381","5,448","€136,217","€14,176","€2,530","€8,646",€0,"€25,352",20.60%,2.03%,6.20%,16.75%,€4.7,"€1,201.3","-€24,150.4"
7135,Artize,Singulart Artist,"BV but no pull (Low Pull, High Entry BV)",6.8,"25,410","147,462","172,872","4,277","5,734","10,011","€135,069","€5,451","€1,125",€0,€0,"€6,577",16.832%,3.888%,5.791%,4.036%,€0.7,"€2,589.1","-€3,987.5"
1357,Wietzie,Singulart Artist,"BV but no pull (Low Pull, High Entry BV)",8.2,"16,906","111,908","128,814","2,530","2,807","5,337","€134,604","€6,154","€1,868",€0,€0,"€8,022",14.965%,2.508%,4.143%,4.572%,€1.5,"€1,852.4","-€6,170.0"
2481,Mam,Singulart Artist,"Supply-Driven (High Pull, High Entry BV)",7.8,"18,759","65,536","84,295","3,935","1,475","5,410","€133,467","€14,256","€1,440","€1,590",€0,"€17,286",20.98%,2.25%,6.42%,11.87%,€3.2,"€1,243.3","-€16,043.0"
19475,Sophie Cantou,Singulart Artist,"Supply-Driven (High Pull, High Entry BV)",5.7,"15,854","71,296","87,150","3,964","1,751","5,715","€133,438","€11,025",€0,€0,€0,"€11,025",25.00%,2.46%,6.56%,8.26%,€1.9,"€1,270.3","-€9,755.1"
8817,Franko,Singulart Artist,"Pull but no BV (High Pull, Low/Zero Entry BV)",5.8,"17,002","96,095","113,097","4,019","2,878","6,897","€131,909",€0,€0,€0,€0,€0,23.638%,2.995%,6.098%,0.000%,€0.0,€0.0,€0.0
14257,Claire Biette,Singulart Artist,"BV but no pull (Low Pull, High Entry BV)",6.3,"17,713","100,354","118,067","3,554","2,035","5,589","€131,431","€2,783",€440,€0,€0,"€3,223",20.064%,2.028%,4.734%,2.117%,€0.6,"€2,116.4","-€1,106.6"
5579,Kailin Zhao,Singulart Artist,"BV but no pull (Low Pull, High Entry BV)",5.1,"26,677","94,219","120,896","3,555",865,"4,420","€131,370","€5,479",€0,€0,€0,"€5,479",13.326%,0.918%,3.656%,4.170%,€1.2,"€1,634.6","-€3,844.0"
2479,Lana Frey,Singulart Artist,"Supply-Driven (High Pull, High Entry BV)",7.8,"25,120","96,116","121,236","9,393","5,095","14,488","€129,208","€19,630","€3,400",€0,€0,"€23,030",37.39%,5.30%,11.95%,15.19%,€1.6,"€2,315.0","-€20,714.7"
22799,Anne-Marie Torrisi,Singulart Artist,"Pull but no BV (High Pull, Low/Zero Entry BV)",5.8,"19,621","115,192","134,813","3,946","5,685","9,631","€129,024",€0,€0,€0,€0,€0,20.111%,4.935%,7.144%,0.000%,€0.0,€0.0,€0.0
33406,Giovanni Sanesi,Singulart Artist,"Supply-Driven (High Pull, High Entry BV)",4.5,"25,797","76,845","102,642","6,570","2,329","8,899","€128,067","€24,590",€0,€0,€0,"€24,590",25.47%,3.03%,8.67%,19.20%,€2.8,"€1,679.5","-€22,910.5"
4615,Sergey Teplyakov,Singulart Artist,"BV but no pull (Low Pull, High Entry BV)",4.4,"16,197","101,370","117,567","2,325","1,461","3,786","€127,757","€7,766",€0,€0,€0,"€7,766",14.355%,1.441%,3.220%,6.079%,€2.1,"€1,439.8","-€6,325.9"
13993,Ruben Nieto,Singulart Artist,"Demand-driven (Low Pull, Low/Zero Entry BV)",6.3,"5,638","48,610","54,248","1,113","1,741","2,854","€125,918",€0,€0,€0,€0,€0,19.741%,3.582%,5.261%,0.000%,€0.0,€0.0,€0.0
1035,Jordi Machí,Singulart Artist,"Supply-Driven (High Pull, High Entry BV)",8.3,"46,298","59,027","105,325","14,369","5,501","19,870","€125,038","€3,370",€0,€0,€630,"€4,000",31.04%,9.32%,18.87%,2.70%,€0.2,"€3,654.6",-€345.4
10109,Larissa Abtova,Singulart Artist,"BV but no pull (Low Pull, High Entry BV)",6.4,"196,412","141,763","338,175","6,028","3,586","9,614","€124,653",€0,"€14,873",€0,"€2,230","€17,103",3.069%,2.530%,2.843%,0.000%,€1.8,"€1,271.0","-€15,831.8"
2005,Calvin Chih-Hao Teng,Singulart Artist,"Demand-driven (Low Pull, Low/Zero Entry BV)",7.8,"21,321","74,621","95,942","2,184","1,334","3,518","€124,621",€0,€0,€0,€0,€0,10.243%,1.788%,3.667%,0.000%,€0.0,€0.0,€0.0
17261,Olha Darchuk,Singulart Artist,"Supply-Driven (High Pull, High Entry BV)",6.0,"36,527","165,717","202,244","17,722","6,701","24,423","€123,601","€4,383","€4,692",€0,€0,"€9,075",48.52%,4.04%,12.08%,3.55%,€0.4,"€2,339.3","-€6,735.8"
5097,Vania Bouwmeester Pentcheva,Singulart Artist,"BV but no pull (Low Pull, High Entry BV)",7.2,"9,297","78,036","87,333","1,014","1,737","2,751","€122,567","€7,543",€0,€0,€0,"€7,543",10.907%,2.226%,3.150%,6.154%,€2.7,"€1,408.4","-€6,134.5"
5423,Stefan Szczesny,Singulart Artist,"Supply-Driven (High Pull, High Entry BV)",4.3,"24,050","19,868","43,918","10,382",390,"10,772","€122,564","€7,534",€0,€0,€0,"€7,534",43.17%,1.96%,24.53%,6.15%,€0.7,"€4,751.4","-€2,782.7"
3759,Behshad Arjomandi,Singulart Artist,"BV but no pull (Low Pull, High Entry BV)",7.4,"20,713","125,786","146,499","3,479","3,214","6,693","€121,252","€2,314","€4,569","€1,130",€0,"€8,013",16.796%,2.555%,4.569%,2.841%,€1.2,"€2,042.6","-€5,970.5"
4027,Angie Brooksby-Arcangioli,Singulart Artist,"BV but no pull (Low Pull, High Entry BV)",7.3,"16,750","108,865","125,615","2,822","2,757","5,579","€120,194","€14,695",€0,€0,€0,"€14,695",16.848%,2.532%,4.441%,12.226%,€2.6,"€1,985.7","-€12,709.1"
21283,Liubou Sas,Singulart Artist,"BV but no pull (Low Pull, High Entry BV)",5.8,"22,142","154,875","177,017","3,531","5,934","9,465","€119,560","€12,332",€810,"€6,625",€0,"€19,767",15.947%,3.831%,5.347%,15.856%,€2.1,"€2,390.6","-€17,376.9"
27729,Mitro,Singulart Artist,"Supply-Driven (High Pull, High Entry BV)",5.2,"15,679","23,000","38,679","8,945",582,"9,527","€119,300","€29,000",€0,€0,€0,"€29,000",57.05%,2.53%,24.63%,24.31%,€3.0,"€4,771.4","-€24,228.6"
29525,Jos Coufreur,Singulart Artist,"Supply-Driven (High Pull, High Entry BV)",4.4,"13,165","95,240","108,405","3,186","6,022","9,208","€118,908","€2,718",€0,€0,€0,"€2,718",24.20%,6.32%,8.49%,2.29%,€0.3,"€1,645.4","-€1,072.8"
3135,Hennie Van De Lande,Singulart Artist,"Supply-Driven (High Pull, High Entry BV)",7.6,"16,184","114,841","131,025","3,833","4,221","8,054","€118,270","€2,332","€4,600",€0,€0,"€6,932",23.68%,3.68%,6.15%,1.97%,€0.9,"€1,190.8","-€5,741.2"
3389,Harold Westerink,Singulart Artist,"BV but no pull (Low Pull, High Entry BV)",5.1,"12,543","102,263","114,806","1,605","1,082","2,687","€117,912",€900,€0,€0,€0,€900,12.796%,1.058%,2.340%,0.763%,€0.3,"€1,046.4",€146.4
10607,Eric Stefanski,Singulart Artist,"Supply-Driven (High Pull, High Entry BV)",3.3,"22,826","58,527","81,353","9,413",668,"10,081","€117,526","€6,341",€0,€0,€0,"€6,341",41.24%,1.14%,12.39%,5.40%,€0.6,"€2,400.5","-€3,940.3"
21431,Tatiana Rezvaya,Singulart Artist,"BV but no pull (Low Pull, High Entry BV)",5.9,"19,892","76,723","96,615","1,391","2,146","3,537","€117,466","€5,407","€2,798","€16,173",€0,"€24,378",6.993%,2.797%,3.661%,18.371%,€6.9,"€1,636.8","-€22,741.1"
3807,Victoria Stagni,Singulart Artist,"Supply-Driven (High Pull, High Entry BV)",7.4,"40,964","66,870","107,834","5,858","1,759","7,617","€117,071","€7,133",€0,€0,€0,"€7,133",14.30%,2.63%,7.06%,6.09%,€0.9,"€1,368.3","-€5,764.8"
76,David Gista,Singulart Artist,"BV but no pull (Low Pull, High Entry BV)",8.2,"11,877","62,181","74,058","3,203","1,226","4,429","€116,171",€340,€0,€0,€0,€340,26.968%,1.972%,5.980%,0.293%,€0.1,"€2,673.8","€2,333.8"
16531,Maurizio Paccagnella,Singulart Artist,"Supply-Driven (High Pull, High Entry BV)",6.1,"10,701","38,257","48,958","3,181",859,"4,040","€115,561","€10,755",€0,€0,€0,"€10,755",29.73%,2.25%,8.25%,9.31%,€2.7,"€1,598.5","-€9,156.2"
5013,Heidi Thompson,Singulart Artist,"Supply-Driven (High Pull, High Entry BV)",7.2,"9,238","46,868","56,106","2,612",980,"3,592","€115,489","€5,740",€0,€0,€0,"€5,740",28.27%,2.09%,6.40%,4.97%,€1.6,"€1,240.2","-€4,499.8"
5947,Elena Dmitrenko,Singulart Artist,"Supply-Driven (High Pull, High Entry BV)",6.9,"36,919","238,175","275,094","4,833","15,798","20,631","€114,782","€7,928","€3,294",€360,€0,"€11,582",13.09%,6.63%,7.50%,7.22%,€0.6,"€1,452.8","-€10,128.9"
31393,Andrea Serra,Singulart Artist,"Supply-Driven (High Pull, High Entry BV)",4.8,"22,994","59,443","82,437","5,351","1,800","7,151","€114,547","€6,957","€1,300","€12,410",€0,"€20,667",23.27%,3.03%,8.67%,16.91%,€2.9,"€1,680.4","-€18,986.7"
22351,Manfred Hellweger,Singulart Artist,"BV but no pull (Low Pull, High Entry BV)",5.8,"5,502","40,493","45,995",931,"1,125","2,056","€114,192","€16,192","€3,320",€0,€0,"€19,512",16.921%,2.778%,4.470%,14.179%,€9.5,"€1,998.5","-€17,513.2"
8157,Viktoria Lapteva,Singulart Artist,"Supply-Driven (High Pull, High Entry BV)",6.6,"28,792","176,275","205,067","11,375","25,414","36,789","€113,310","€11,870","€1,920","€2,995",€0,"€16,786",39.51%,14.42%,17.94%,13.12%,€0.5,"€3,475.3","-€13,310.5"
3385,Friedrich Wurm,Singulart Artist,"Supply-Driven (High Pull, High Entry BV)",7.6,"43,775","235,110","278,885","13,207","6,452","19,659","€113,179","€4,248","€2,385",€0,€0,"€6,633",30.17%,2.74%,7.05%,3.75%,€0.3,"€1,365.5","-€5,267.3"
24617,Andrea Pallang,Singulart Artist,"BV but no pull (Low Pull, High Entry BV)",5.7,"13,361","163,907","177,268","2,209","4,780","6,989","€112,872","€9,754",€0,"€7,183",€0,"€16,937",16.533%,2.916%,3.943%,15.005%,€2.4,"€1,762.7","-€15,174.0"
2561,Caroline Vis,Singulart Artist,"Pull but no BV (High Pull, Low/Zero Entry BV)",6.0,"11,068","36,771","47,839","2,198",744,"2,942","€112,848",€0,€0,€0,€0,€0,19.859%,2.023%,6.150%,0.000%,€0.0,€0.0,€0.0
5699,Lucy Moore,Singulart Artist,"BV but no pull (Low Pull, High Entry BV)",6.9,"23,918","120,716","144,634","6,165","1,798","7,963","€112,820","€8,192","€3,511","€1,774",€0,"€13,477",25.776%,1.489%,5.506%,8.834%,€1.7,"€2,461.5","-€11,015.1"
25673,Gallery Blond Contemporary,Singulart Artist,"Demand-driven (Low Pull, Low/Zero Entry BV)",3.4,"6,531","40,466","46,997",916,814,"1,730","€112,226",€0,€0,€0,€0,€0,14.025%,2.012%,3.681%,0.000%,€0.0,€0.0,€0.0
10479,Malgorzata Krakowiak,Singulart Artist,"BV but no pull (Low Pull, High Entry BV)",6.4,"11,362","111,736","123,098","1,503","2,526","4,029","€112,135","€11,888","€1,300",€0,€0,"€13,188",13.228%,2.261%,3.273%,10.602%,€3.3,"€1,463.3","-€11,725.1"
21375,Veljko Martinovic,Singulart Artist,"Pull but no BV (High Pull, Low/Zero Entry BV)",5.9,"8,026","34,228","42,254","1,857","1,221","3,078","€111,490",€0,€0,€0,€0,€0,23.137%,3.567%,7.285%,0.000%,€0.0,€0.0,€0.0
