artist_id,artist_name,artist_type,Artist Quadrant,years online,nb_sessions_artist_page,nb_sessions_artwork_page,nb_sessions_total,nb_entry_sessions_artist_campaign,nb_entry_sessions_artwork_campaign,nb_entry_sessions_total,artist_total_bv,artist_entry_bv_same_artist,artist_entry_bv_other_artist,artwork_entry_bv_same_artist,artwork_entry_bv_other_artist,1stClick BV,pull_ratio_artist,pull_ratio_artwork,pull_ratio,pct_first_click_bv_same_artist,1st_click_BV_per_First_click_session,Predictive formula,Delta
22047,Deepali s,Singulart Artist,"Demand-driven (Low Pull, Low/Zero Entry BV)",5.3,"2,875","15,778","18,653",468,278,746,"€1,642",€0,€0,€0,€0,€0,16.278%,1.762%,3.999%,0.000%,€0.0,€0.0,€0.0
80404,So Moon (Sophie) Müller,Singulart Artist,"Demand-driven (Low Pull, Low/Zero Entry BV)",0.5,421,"2,179","2,600",47,27,74,"€1,641",€0,€0,€0,€0,€0,11.164%,1.239%,2.846%,0.000%,€0.0,€0.0,€0.0
53409,H. D. Carew,Singulart Artist,"BV but no pull (Low Pull, High Entry BV)",2.2,348,967,"1,315",15,12,27,"€1,641","€1,641",€0,€0,€0,"€1,641",4.310%,1.241%,2.053%,100.000%,€60.8,€918.0,-€723.4
28079,François Plumart,Singulart Artist,"Pull but no BV (High Pull, Low/Zero Entry BV)",4.6,"1,958","2,810","4,768",233,99,332,"€1,641",€0,€0,€0,€0,€0,11.900%,3.523%,6.963%,0.000%,€0.0,€0.0,€0.0
62915,Evi Schartner,Singulart Artist,"Demand-driven (Low Pull, Low/Zero Entry BV)",1.8,"1,119","6,207","7,326",109,151,260,"€1,640",€0,€0,€0,€0,€0,9.741%,2.433%,3.549%,0.000%,€0.0,€0.0,€0.0
36171,Vera Kochubey,Singulart Artist,"Supply-Driven (High Pull, High Entry BV)",2.5,"1,246","2,611","3,857",314,58,372,"€1,640","€1,640",€0,€0,€0,"€1,640",25.20%,2.22%,9.64%,100.00%,€4.4,"€1,868.4",€228.4
14915,Adeline Dutel,Singulart Artist,"Pull but no BV (High Pull, Low/Zero Entry BV)",5.6,"2,628","8,989","11,617",771,286,"1,057","€1,640",€0,€0,€0,€0,€0,29.338%,3.182%,9.099%,0.000%,€0.0,€0.0,€0.0
33331,Elena Shichko,Singulart Artist,"Demand-driven (Low Pull, Low/Zero Entry BV)",4.0,"2,195","18,544","20,739",324,308,632,"€1,640",€0,€0,€0,€0,€0,14.761%,1.661%,3.047%,0.000%,€0.0,€0.0,€0.0
39010,Lamar Briggs,Blue Chip Artist,"Demand-driven (Low Pull, Low/Zero Entry BV)",2.3,712,"3,800","4,512",150,81,231,"€1,639",€0,€0,€0,€0,€0,21.067%,2.132%,5.120%,0.000%,€0.0,€0.0,€0.0
58881,Carmen Treviño Mejía,Singulart Artist,"Demand-driven (Low Pull, Low/Zero Entry BV)",1.0,"1,018","7,147","8,165",81,114,195,"€1,637",€0,€0,€0,€0,€0,7.957%,1.595%,2.388%,0.000%,€0.0,€0.0,€0.0
7819,Max Osiris,Singulart Artist,"Supply-Driven (High Pull, High Entry BV)",3.9,"1,192",390,"1,582",683,15,698,"€1,636","€1,636",€0,€0,€0,"€1,636",57.30%,3.85%,44.12%,100.00%,€2.3,"€8,547.1","€6,911.1"
11271,Filippo Citterio,Singulart Artist,"Demand-driven (Low Pull, Low/Zero Entry BV)",5.4,"2,484","8,035","10,519",399,172,571,"€1,631",€0,€0,€0,€0,€0,16.063%,2.141%,5.428%,0.000%,€0.0,€0.0,€0.0
49808,Pako Bono,Singulart Artist,"BV but no pull (Low Pull, High Entry BV)",2.3,250,"1,106","1,356",16,9,25,"€1,630","€1,630",€0,€0,€0,"€1,630",6.400%,0.814%,1.844%,100.000%,€65.2,€824.3,-€806.0
79817,Christine Beard,Singulart Artist,"Demand-driven (Low Pull, Low/Zero Entry BV)",0.6,"1,459","34,199","35,658",78,"1,563","1,641","€1,627",€0,€0,€0,€0,€0,5.346%,4.570%,4.602%,0.000%,€0.0,€0.0,€0.0
351,Michaël Relave,Singulart Artist,"Pull but no BV (High Pull, Low/Zero Entry BV)",8.1,"2,634","13,641","16,275",799,192,991,"€1,627",€0,€0,€0,€0,€0,30.334%,1.408%,6.089%,0.000%,€0.0,€0.0,€0.0
45939,Pablo Palazuelo,Blue Chip Artist,"Supply-Driven (High Pull, High Entry BV)",2.3,"1,785","5,957","7,742",789,231,"1,020","€1,626",€0,€153,€0,€0,€153,44.20%,3.88%,13.17%,0.00%,€0.2,"€2,552.2","€2,399.2"
19185,Ruben Cukier,Singulart Artist,"Pull but no BV (High Pull, Low/Zero Entry BV)",5.4,"10,273","7,912","18,185","7,932",263,"8,195","€1,626",€0,€0,€0,€0,€0,77.212%,3.324%,45.065%,0.000%,€0.0,€0.0,€0.0
16315,Inge Du Plessis,Singulart Artist,"Pull but no BV (High Pull, Low/Zero Entry BV)",3.3,993,"1,913","2,906",293,49,342,"€1,625",€0,€0,€0,€0,€0,29.507%,2.561%,11.769%,0.000%,€0.0,€0.0,€0.0
78058,Roberto Caruso,Singulart Artist,"Pull but no BV (High Pull, Low/Zero Entry BV)",0.7,98,154,252,22,16,38,"€1,624",€0,€0,€0,€0,€0,22.449%,10.390%,15.079%,0.000%,€0.0,€0.0,€0.0
60050,MARIATERESA ALBANESE Mateal,Singulart Artist,"Demand-driven (Low Pull, Low/Zero Entry BV)",0.9,"1,557","4,797","6,354",209,72,281,"€1,624",€0,€0,€0,€0,€0,13.423%,1.501%,4.422%,0.000%,€0.0,€0.0,€0.0
13801,Dairo Vargas,Singulart Artist,"Supply-Driven (High Pull, High Entry BV)",3.6,"1,371","1,333","2,704",741,76,817,"€1,623",€0,€0,"€1,623",€0,"€1,623",54.05%,5.70%,30.21%,100.00%,€2.0,"€5,853.1","€4,230.3"
16441,Niki Duffy,Singulart Artist,"Pull but no BV (High Pull, Low/Zero Entry BV)",4.0,874,"2,261","3,135",221,52,273,"€1,621",€0,€0,€0,€0,€0,25.286%,2.300%,8.708%,0.000%,€0.0,€0.0,€0.0
26093,Francis Rusek,Singulart Artist,"Demand-driven (Low Pull, Low/Zero Entry BV)",4.8,"2,006","10,274","12,280",365,152,517,"€1,620",€0,€0,€0,€0,€0,18.195%,1.479%,4.210%,0.000%,€0.0,€0.0,€0.0
79677,Hedwig Oeldig,Singulart Artist,"Pull but no BV (High Pull, Low/Zero Entry BV)",0.5,344,"1,704","2,048",33,114,147,"€1,620",€0,€0,€0,€0,€0,9.593%,6.690%,7.178%,0.000%,€0.0,€0.0,€0.0
8611,Lucie Svoboda,Singulart Artist,"Pull but no BV (High Pull, Low/Zero Entry BV)",3.9,"1,986",538,"2,524","1,365",35,"1,400","€1,620",€0,€0,€0,€0,€0,68.731%,6.506%,55.468%,0.000%,€0.0,€0.0,€0.0
60056,Josefin Hill,Singulart Artist,"Demand-driven (Low Pull, Low/Zero Entry BV)",1.9,"1,027","8,055","9,082",94,231,325,"€1,620",€0,€0,€0,€0,€0,9.153%,2.868%,3.579%,0.000%,€0.0,€0.0,€0.0
4629,Jordan Eastwood,Singulart Artist,"Pull but no BV (High Pull, Low/Zero Entry BV)",4.6,892,"2,047","2,939",394,165,559,"€1,619",€0,€0,€0,€0,€0,44.170%,8.061%,19.020%,0.000%,€0.0,€0.0,€0.0
22611,Lisa Kellner,Singulart Artist,"Pull but no BV (High Pull, Low/Zero Entry BV)",2.8,"1,293","2,331","3,624",504,35,539,"€1,618",€0,€0,€0,€0,€0,38.979%,1.502%,14.873%,0.000%,€0.0,€0.0,€0.0
37004,Ernest Carneado Ferreri,Singulart Artist,"Demand-driven (Low Pull, Low/Zero Entry BV)",2.3,"2,542","26,509","29,051",179,776,955,"€1,618",€0,€0,€0,€0,€0,7.042%,2.927%,3.287%,0.000%,€0.0,€0.0,€0.0
31047,WO$H WO$H,Singulart Artist,"Pull but no BV (High Pull, Low/Zero Entry BV)",3.8,"4,594","17,433","22,027","1,516",330,"1,846","€1,618",€0,€0,€0,€0,€0,33.000%,1.893%,8.381%,0.000%,€0.0,€0.0,€0.0
29285,dunbrown,Singulart Artist,"Demand-driven (Low Pull, Low/Zero Entry BV)",4.3,"1,234","7,292","8,526",189,176,365,"€1,618",€0,€0,€0,€0,€0,15.316%,2.414%,4.281%,0.000%,€0.0,€0.0,€0.0
76773,Valter Vari,Singulart Artist,"Pull but no BV (High Pull, Low/Zero Entry BV)",0.8,"1,079","6,339","7,418",54,397,451,"€1,617",€0,€0,€0,€0,€0,5.005%,6.263%,6.080%,0.000%,€0.0,€0.0,€0.0
2453,Simon Hopkinson,Singulart Artist,"Pull but no BV (High Pull, Low/Zero Entry BV)",5.0,900,"2,935","3,835",277,80,357,"€1,613",€0,€0,€0,€0,€0,30.778%,2.726%,9.309%,0.000%,€0.0,€0.0,€0.0
23735,Julio Sendino,Singulart Artist,"Supply-Driven (High Pull, High Entry BV)",5.2,"2,785","13,785","16,570",861,294,"1,155","€1,613",€850,€0,€0,€0,€850,30.92%,2.13%,6.97%,52.70%,€0.7,"€1,350.3",€500.3
