date,is_promotion,promotion_name,promo_format,promo_day_number,promo_duration,promo_start_date,promo_end_date,total_impressions,discounted_impressions,nb_artwork_clicks,nb_sessions,units_sold,bv
2026-01-24,0,,,,,,,1045218,,26186,8487,17,17324.26
2026-01-25,0,,,,,,,1380846,,33253,10840,17,13371.86
2026-01-26,0,,,,,,,1174154,,32539,10476,28,62924.14
2026-01-27,0,,,,,,,1128242,,30163,9517,20,43725.88
2026-01-28,0,,,,,,,1040254,,27730,8918,14,26177.58
2026-01-29,0,,,,,,,1064833,,28915,9531,28,31696.94
2026-01-30,0,,,,,,,1003042,,28307,8335,22,31770.84
2026-01-31,0,,,,,,,1067613,,29239,9458,25,23826.96
2026-02-01,0,,,,,,,1324476,,32046,10195,32,54008.81
2026-02-02,0,,,,,,,1156235,,31357,9908,29,37871.25
2026-02-03,0,,,,,,,1133389,,29432,9991,17,49264.95
2026-02-04,0,,,,,,,1085578,,29782,9556,18,16678.91
2026-02-05,0,,,,,,,1005022,,27642,9301,21,28126.46
2026-02-06,1,FEBRUARY26_10DAYS_PROMO,10_days,1,10,2026-02-06,2026-02-15,1207763,,35900,12513,48,54469.1
2026-02-07,1,FEBRUARY26_10DAYS_PROMO,10_days,2,10,2026-02-06,2026-02-15,1240141,,33325,10463,27,30177.99
2026-02-08,1,FEBRUARY26_10DAYS_PROMO,10_days,3,10,2026-02-06,2026-02-15,1531668,,40946,12976,36,31765.52
2026-02-09,1,FEBRUARY26_10DAYS_PROMO,10_days,4,10,2026-02-06,2026-02-15,1285279,,42305,12438,37,30193.38
2026-02-10,1,FEBRUARY26_10DAYS_PROMO,10_days,5,10,2026-02-06,2026-02-15,1115967,,38142,11835,34,34035.1
2026-02-11,1,FEBRUARY26_10DAYS_PROMO,10_days,6,10,2026-02-06,2026-02-15,1130261,,34749,11052,30,43573.92
2026-02-12,1,FEBRUARY26_10DAYS_PROMO,10_days,7,10,2026-02-06,2026-02-15,1053865,501655,31715,10250,28,24486.81
2026-02-13,1,FEBRUARY26_10DAYS_PROMO,10_days,8,10,2026-02-06,2026-02-15,1186406,611995,33820,10354,44,65255.24
2026-02-14,1,FEBRUARY26_10DAYS_PROMO,10_days,9,10,2026-02-06,2026-02-15,1367565,688592,34162,10345,45,41967.86
2026-02-15,1,FEBRUARY26_10DAYS_PROMO,10_days,10,10,2026-02-06,2026-02-15,1901127,963801,60756,17590,90,84086.26
2026-02-16,0,,,,,,,1314864,7467,43645,11475,47,73290.96
2026-02-17,0,,,,,,,1144572,5959,36990,10836,13,18659.42
2026-02-18,0,,,,,,,1096889,4644,39713,10128,10,13088.59
2026-02-19,0,,,,,,,1085631,8016,29961,9463,22,29772.64
2026-02-20,0,,,,,,,1100534,9244,34096,9290,10,14578
2026-02-21,0,,,,,,,1311206,8100,35370,10348,23,21305.32
2026-02-22,0,,,,,,,1505327,7923,41749,12325,21,30016.2
2026-02-23,0,,,,,,,1302497,18533,38305,11851,29,43027.71
2026-02-24,0,,,,,,,1173793,9249,33609,10058,19,19900.7
2026-02-25,0,,,,,,,1056176,6191,31951,9678,11,13817.84
2026-02-26,0,,,,,,,978206,5136,30833,11865,11,18150.03
2026-02-27,0,,,,,,,988492,11544,29065,9895,28,57205.94
2026-02-28,0,,,,,,,1079882,11859,30305,10333,20,22860.31
2026-03-01,0,,,,,,,1321238,25401,34244,11321,19,15957.42
2026-03-02,0,,,,,,,1023914,4148,30753,10093,25,31167.26
2026-03-03,0,,,,,,,960322,5621,28438,9632,12,28571.09
2026-03-04,0,,,,,,,925260,5146,25787,8947,21,30399.98
2026-03-05,0,,,,,,,970354,1463,27456,9459,18,17740.83
2026-03-06,0,,,,,,,1091121,6520,30159,12281,18,27199.99
2026-03-07,0,,,,,,,1057607,3489,26701,11331,11,14956.26
2026-03-08,0,,,,,,,1254277,7628,32713,12800,15,13964.09
2026-03-09,0,,,,,,,1039650,7707,40047,14229,19,22373.94
2026-03-10,0,,,,,,,880044,5439,34530,12551,23,23983.67
2026-03-11,0,,,,,,,970150,11402,29267,11565,12,40226.81
2026-03-12,0,,,,,,,856482,4986,27094,10537,35,58314.94
2026-03-13,1,MARCH26_10DAYS_PROMO,10_days,1,10,2026-03-13,2026-03-22,1060609,448055,29802,11204,29,24350.11
2026-03-14,1,MARCH26_10DAYS_PROMO,10_days,2,10,2026-03-13,2026-03-22,1012886,463647,28960,10821,17,26751.37
2026-03-15,1,MARCH26_10DAYS_PROMO,10_days,3,10,2026-03-13,2026-03-22,1105454,504457,38638,14288,24,25482.7
2026-03-16,1,MARCH26_10DAYS_PROMO,10_days,4,10,2026-03-13,2026-03-22,865448,395973,29614,12198,29,37032.5
2026-03-17,1,MARCH26_10DAYS_PROMO,10_days,5,10,2026-03-13,2026-03-22,878513,397495,26668,9642,23,31908.19
2026-03-18,1,MARCH26_10DAYS_PROMO,10_days,6,10,2026-03-13,2026-03-22,795650,362185,24862,9932,24,47683.48
2026-03-19,1,MARCH26_10DAYS_PROMO,10_days,7,10,2026-03-13,2026-03-22,799110,356991,24559,9898,31,41241.82
2026-03-20,1,MARCH26_10DAYS_PROMO,10_days,8,10,2026-03-13,2026-03-22,941069,437821,26371,9420,30,43010.89
2026-03-21,1,MARCH26_10DAYS_PROMO,10_days,9,10,2026-03-13,2026-03-22,911925,422049,24848,8991,36,32964.24
2026-03-22,1,MARCH26_10DAYS_PROMO,10_days,10,10,2026-03-13,2026-03-22,1219883,607361,31404,10272,57,86581.04
2026-03-23,0,,,,,,,956631,2248,27008,9215,11,13151.46
2026-03-24,0,,,,,,,890502,2409,24470,8828,9,7941.19
2026-03-25,0,,,,,,,877472,6359,24950,11322,14,20907.27
2026-03-26,0,,,,,,,907477,6257,30299,10779,13,16992.22
2026-03-27,0,,,,,,,864480,3129,60028,10235,16,21318.62
2026-03-28,0,,,,,,,882236,1985,180608,13779,18,25613.26
2026-03-29,1,MARCH26_8DAYS_PROMO,8_days,1,8,2026-03-29,2026-04-05,1002083,416403,199369,13129,36,39044.07
2026-03-30,1,MARCH26_8DAYS_PROMO,8_days,2,8,2026-03-29,2026-04-05,1072971,519635,222931,12986,19,15446.84
2026-03-31,1,MARCH26_8DAYS_PROMO,8_days,3,8,2026-03-29,2026-04-05,939949,432542,233510,11688,24,20397.13
2026-04-01,1,MARCH26_8DAYS_PROMO,8_days,4,8,2026-03-29,2026-04-05,619148,288185,215446,11371,19,17280.18
2026-04-02,1,MARCH26_8DAYS_PROMO,8_days,5,8,2026-03-29,2026-04-05,815364,372453,218931,11926,20,28503.78
2026-04-03,1,MARCH26_8DAYS_PROMO,8_days,6,8,2026-03-29,2026-04-05,1090615,529006,166366,14911,17,26347.43
2026-04-04,1,MARCH26_8DAYS_PROMO,8_days,7,8,2026-03-29,2026-04-05,917135,424721,204051,15219,21,30425.99
2026-04-05,1,MARCH26_8DAYS_PROMO,8_days,8,8,2026-03-29,2026-04-05,1131625,548770,223456,17584,52,58882.32
2026-04-06,0,,,,,,,1024956,2494,221570,17189,15,12871.67
2026-04-07,0,,,,,,,801944,4630,237615,16373,13,17892.57
2026-04-08,0,,,,,,,827791,2875,240767,13165,17,32179.52
2026-04-09,0,,,,,,,832632,2330,230514,13839,18,27527.97
2026-04-10,0,,,,,,,801234,2754,221455,12385,14,11552.43
2026-04-11,0,,,,,,,828247,6609,164538,11403,16,15665.69
2026-04-12,0,,,,,,,1073991,5357,213303,12123,11,8884.09
2026-04-13,0,,,,,,,910773,2107,902858,163277,15,19126.71
2026-04-14,0,,,,,,,831615,4298,1226962,158376,14,14331.04
2026-04-15,0,,,,,,,868597,2048,1235137,63782,22,15427.11
2026-04-16,1,APRIL26_4DAYS_PROMO,4_days,1,4,2026-04-16,2026-04-19,1000392,419411,568189,23405,23,30485.88
2026-04-17,1,APRIL26_4DAYS_PROMO,4_days,2,4,2026-04-16,2026-04-19,1010029,498996,205565,13629,17,34177.5
2026-04-18,1,APRIL26_4DAYS_PROMO,4_days,3,4,2026-04-16,2026-04-19,939517,442860,210795,11583,33,42702
2026-04-19,1,APRIL26_4DAYS_PROMO,4_days,4,4,2026-04-16,2026-04-19,1142210,543017,162063,12886,38,39682.55
2026-04-20,0,,,,,,,981381,2330,203272,13613,16,35198.96
2026-04-21,0,,,,,,,921811,703,187073,13789,19,36808.88
2026-04-22,0,,,,,,,915885,1837,205034,13607,13,20823.81
2026-04-23,0,,,,,,,776464,284,223382,13945,11,12275.95
2026-04-24,0,,,,,,,804093,171,226255,14386,7,6421.41
2026-04-25,0,,,,,,,853518,60,227316,13712,25,22929.33
2026-04-26,1,APRIL26_8DAYS_PROMO,8_days,1,8,2026-04-26,2026-05-03,1227280,475044,233435,15143,24,26778.34
2026-04-27,1,APRIL26_8DAYS_PROMO,8_days,2,8,2026-04-26,2026-05-03,972657,426181,231314,13158,18,27885.76
2026-04-28,1,APRIL26_8DAYS_PROMO,8_days,3,8,2026-04-26,2026-05-03,899278,399825,226676,14438,21,25232.93
2026-04-29,1,APRIL26_8DAYS_PROMO,8_days,4,8,2026-04-26,2026-05-03,892703,385777,166277,11417,23,16293.72
2026-04-30,1,APRIL26_8DAYS_PROMO,8_days,5,8,2026-04-26,2026-05-03,848472,381701,225266,16456,18,30083.27
2026-05-01,1,APRIL26_8DAYS_PROMO,8_days,6,8,2026-04-26,2026-05-03,849549,373343,214631,19642,11,11575.4
2026-05-02,1,APRIL26_8DAYS_PROMO,8_days,7,8,2026-04-26,2026-05-03,1007559,466560,228181,15129,28,50840.39
2026-05-03,1,APRIL26_8DAYS_PROMO,8_days,8,8,2026-04-26,2026-05-03,1293292,589727,231271,19108,37,48761.68
2026-05-04,0,,,,,,,1105247,1687,234813,16413,9,3639.73
2026-05-05,0,,,,,,,974361,3268,227920,14803,11,12798
2026-05-06,0,,,,,,,960280,4056,226096,14822,13,11796.23
2026-05-07,0,,,,,,,842455,591,224052,18186,18,21275.01
2026-05-08,0,,,,,,,801966,521,167143,17407,16,19878.68
2026-05-09,0,,,,,,,847151,1753,212853,17368,18,30367.01
2026-05-10,0,,,,,,,1090394,207,210423,18302,19,43160.01
2026-05-11,0,,,,,,,905178,255,224095,17057,22,75500.98
2026-05-12,0,,,,,,,823152,490,195632,15925,17,28036.5
2026-05-13,0,,,,,,,789646,62,215412,15635,11,14819.44
2026-05-14,1,MAY26_4DAYS_PROMO,4_days,1,4,2026-05-14,2026-05-17,1299517,567206,202863,17850,26,32130.92
2026-05-15,1,MAY26_4DAYS_PROMO,4_days,2,4,2026-05-14,2026-05-17,945848,436419,182827,17351,20,21712.87
2026-05-16,1,MAY26_4DAYS_PROMO,4_days,3,4,2026-05-14,2026-05-17,976981,435153,177469,15839,23,27689.88
2026-05-17,1,MAY26_4DAYS_PROMO,4_days,4,4,2026-05-14,2026-05-17,1160469,543264,233951,17899,56,58222.68
2026-05-18,0,,,,,,,983718,1700,244050,16880,16,30731.4
2026-05-19,0,,,,,,,782824,552,224392,16754,13,29963.96
2026-05-20,0,,,,,,,756986,543,242900,20809,11,14848.05
2026-05-21,0,,,,,,,683919,181,233324,16168,13,12513.38
2026-05-22,0,,,,,,,659619,172,223145,15980,9,7148.87
2026-05-23,0,,,,,,,645392,71,154940,16891,9,15354.61
2026-05-24,1,MAY26_8DAYS_PROMO,8_days,1,8,2026-05-24,2026-05-31,962872,396771,215573,16178,18,38109.82
2026-05-25,1,MAY26_8DAYS_PROMO,8_days,2,8,2026-05-24,2026-05-31,743834,330533,227753,14172,27,63800.5
2026-05-26,1,MAY26_8DAYS_PROMO,8_days,3,8,2026-05-24,2026-05-31,661792,273549,173770,14485,13,26531.41
2026-05-27,1,MAY26_8DAYS_PROMO,8_days,4,8,2026-05-24,2026-05-31,685719,298828,151639,14955,20,38894.85
2026-05-28,1,MAY26_8DAYS_PROMO,8_days,5,8,2026-05-24,2026-05-31,634664,271823,154704,14635,19,19380.87
2026-05-29,1,MAY26_8DAYS_PROMO,8_days,6,8,2026-05-24,2026-05-31,754923,351663,82992,21663,19,23362.15
2026-05-30,1,MAY26_8DAYS_PROMO,8_days,7,8,2026-05-24,2026-05-31,718181,320125,150699,18169,39,32929.99
2026-05-31,1,MAY26_8DAYS_PROMO,8_days,8,8,2026-05-24,2026-05-31,868262,399147,156918,13674,44,33394.76
2026-06-01,0,,,,,,,763008,1545,150423,13925,10,7916.42
2026-06-02,0,,,,,,,753826,781,133140,13966,12,21378.92
2026-06-03,0,,,,,,,700063,363,190760,14013,9,12225.06
2026-06-04,0,,,,,,,760629,469,194313,14559,12,17712.88
2026-06-05,0,,,,,,,699910,284,207360,14302,9,23305.71
2026-06-06,0,,,,,,,719607,124,214924,12342,15,13624.5
2026-06-07,0,,,,,,,927097,85,214263,15488,8,7638.52
2026-06-08,0,,,,,,,767618,149,209562,13930,37,64887.73
2026-06-09,0,,,,,,,768994,117,198776,12697,12,7928.08
2026-06-10,0,,,,,,,742623,87,204754,16486,18,44800.5
2026-06-11,1,JUNE26_4DAYS_PROMO,4_days,1,4,2026-06-11,2026-06-14,980425,440491,166984,15477,26,35522.1
2026-06-12,1,JUNE26_4DAYS_PROMO,4_days,2,4,2026-06-11,2026-06-14,958052,421649,210961,16099,44,35552.26
2026-06-13,1,JUNE26_4DAYS_PROMO,4_days,3,4,2026-06-11,2026-06-14,797313,332364,240101,16341,33,34118.11
2026-06-14,1,JUNE26_4DAYS_PROMO,4_days,4,4,2026-06-11,2026-06-14,989844,435359,239310,19394,50,67395.38
2026-06-15,0,,,,,,,842658,1689,237128,18258,18,23267.24
2026-06-16,0,,,,,,,733823,508,188736,15439,7,19939.8
2026-06-17,0,,,,,,,679842,270,169668,14618,23,61141.74
2026-06-18,0,,,,,,,640172,366,194446,14415,9,8065.32
2026-06-19,0,,,,,,,633448,2019,192666,12967,19,23999.49
2026-06-20,0,,,,,,,671158,1065,160873,13348,7,7054.71
2026-06-21,1,JUNE26_8DAYS_PROMO,8_days,1,8,2026-06-21,2026-06-28,899982,379135,206851,15344,16,15051.77
2026-06-22,1,JUNE26_8DAYS_PROMO,8_days,2,8,2026-06-21,2026-06-28,704546,305220,211042,14946,17,45179.65
2026-06-23,1,JUNE26_8DAYS_PROMO,8_days,3,8,2026-06-21,2026-06-28,694464,305598,186117,15748,11,4875.54
2026-06-24,1,JUNE26_8DAYS_PROMO,8_days,4,8,2026-06-21,2026-06-28,585649,251936,147995,16427,18,24032.96
2026-06-25,1,JUNE26_8DAYS_PROMO,8_days,5,8,2026-06-21,2026-06-28,644587,278562,137590,19180,18,26976.93
2026-06-26,1,JUNE26_8DAYS_PROMO,8_days,6,8,2026-06-21,2026-06-28,679110,298723,122231,19344,16,11484.25
2026-06-27,1,JUNE26_8DAYS_PROMO,8_days,7,8,2026-06-21,2026-06-28,851925,383335,118088,13064,18,19470.61
2026-06-28,1,JUNE26_8DAYS_PROMO,8_days,8,8,2026-06-21,2026-06-28,1011030,443921,135427,14429,40,51023.27
2026-06-29,0,,,,,,,751922,1675,119707,15156,12,16458.82
2026-06-30,0,,,,,,,0,0,58604,6700,7,4052.12
2026-07-01,0,,,,,,,0,0,0,0,0,0
